26730250 | status: Ready | focus: 132706 | focusText: AP
26730312 | status: Ready | focus: 132706 | focusText: AP
26730375 | status: Ready | focus: 132706 | focusText: AP
26730437 | status: Ready | focus: 132706 | focusText: AP
26730500 | status: Ready | focus: 132706 | focusText: AP
26730562 | status: Ready | focus: 132706 | focusText: AP
26730625 | status: Ready | focus: 132706 | focusText: AP
26730687 | status: Ready | focus: 132706 | focusText: AP
26730750 | status: Ready | focus: 132706 | focusText: AP
26730812 | status: Ready | focus: 132706 | focusText: AP
26730875 | status: Ready | focus: 132706 | focusText: AP
26730937 | status: Ready | focus: 132706 | focusText: AP
26731000 | status: Ready | focus: 132706 | focusText: AP
26731062 | status: Ready | focus: 132706 | focusText: AP
26731125 | status: Ready | focus: 132706 | focusText: AP
26731187 | status: Ready | focus: 132706 | focusText: AP
26731250 | status: Ready | focus: 132706 | focusText: AP
26731312 | status: Ready | focus: 132706 | focusText: AP
26731390 | status: Ready | focus: 132706 | focusText: AP
26731453 | status: Ready | focus: 132706 | focusText: AP
26731515 | status: Ready | focus: 132706 | focusText: AP
26731578 | status: Ready | focus: 132706 | focusText: AP
26731640 | status: Ready | focus: 132706 | focusText: AP
26731703 | status: Ready | focus: 132706 | focusText: AP
26731765 | status: Ready | focus: 132706 | focusText: AP
26731828 | status: Ready | focus: 132706 | focusText: AP
26731890 | status: Ready | focus: 67402 | focusText: 
26731953 | status: Ready | focus: 67402 | focusText: 
26732015 | status: Ready | focus: 67402 | focusText: 
26732078 | status: Ready | focus: 67402 | focusText: 
26732140 | status: Ready | focus: 67402 | focusText: 
26732203 | status: Ready | focus: 67402 | focusText: 
26732265 | status: Ready | focus: 67402 | focusText: 
26732343 | status: Ready | focus: 67402 | focusText: 
26732390 | status: Ready | focus: 67402 | focusText: 
26732453 | status: Ready | focus: 67402 | focusText: 
26732515 | status: Ready | focus: 67402 | focusText: 
26732578 | status: Ready | focus: 67402 | focusText: 
26732640 | status: Ready | focus: 67402 | focusText: 
26732703 | status: Ready | focus: 67402 | focusText: 
26732765 | status: Ready | focus: 67402 | focusText: 
26732828 | status: Ready | focus: 67402 | focusText: 
26732890 | status: Ready | focus: 67402 | focusText: 
26732953 | status: Ready | focus: 67402 | focusText: 
26733015 | status: Ready | focus: 67402 | focusText: 
26733078 | status: Ready | focus: 67402 | focusText: 
26733140 | status: Ready | focus: 67402 | focusText: 
26733203 | status: Ready | focus: 67402 | focusText: 
26733265 | status: Ready | focus: 67402 | focusText: 
26733328 | status: Ready | focus: 67402 | focusText: 
26733390 | status: Ready | focus: 67402 | focusText: 
26733453 | status: Ready | focus: 67402 | focusText: 
26733515 | status: Ready | focus: 67402 | focusText: 
26733578 | status: Ready | focus: 67402 | focusText: 
26733640 | status: Ready | focus: 67402 | focusText: 
26733703 | status: Ready | focus: 67402 | focusText: 
26733765 | status: Ready | focus: 67402 | focusText: 
26733828 | status: Ready | focus: 67402 | focusText: 
26733890 | status: Ready | focus: 67402 | focusText: 
26733953 | status: Ready | focus: 67402 | focusText: 
26734015 | status: Ready | focus: 67402 | focusText: 
26734125 | status: Ready | focus: 67402 | focusText: 
26734265 | status: Ready | focus: 67402 | focusText: 
26734328 | status: Ready | focus: 67402 | focusText: 
26734406 | status: Ready | focus: 67402 | focusText: 
26734468 | status: Ready | focus: 67402 | focusText: 
26734562 | status: Ready | focus: 67402 | focusText: 
26734625 | status: Ready | focus: 67402 | focusText: 
26734687 | status: Ready | focus: 67402 | focusText: 
26734750 | status: Ready | focus: 67402 | focusText: 
26734828 | status: Ready | focus: 67402 | focusText: 
26734875 | status: Ready | focus: 67402 | focusText: 
26734937 | status: Ready | focus: 67402 | focusText: 
26735000 | status: Ready | focus: 67402 | focusText: 
26735062 | status: Ready | focus: 67402 | focusText: 
26735125 | status: Ready | focus: 67402 | focusText: 
26735187 | status: Ready | focus: 67402 | focusText: 
26735250 | status: Ready | focus: 67402 | focusText: 
26735312 | status: Ready | focus: 67402 | focusText: 
26735375 | status: Ready | focus: 67402 | focusText: 
26735437 | status: Ready | focus: 67402 | focusText: 
26735500 | status: Ready | focus: 67402 | focusText: 
26735562 | status: Ready | focus: 67402 | focusText: 
26735625 | status: Ready | focus: 67402 | focusText: 
26735687 | status: Ready | focus: 67402 | focusText: 
26735750 | status: Ready | focus: 67402 | focusText: 
26735812 | status: Ready | focus: 67402 | focusText: 
26735875 | status: Ready | focus: 67402 | focusText: 
26735937 | status: Ready | focus: 67402 | focusText: 
26736000 | status: Ready | focus: 67402 | focusText: 
26736062 | status: Ready | focus: 67402 | focusText: 
26736125 | status: Ready | focus: 67402 | focusText: 
26736187 | status: Ready | focus: 67402 | focusText: 
26736250 | status: Ready | focus: 67402 | focusText: 
26736312 | status: Ready | focus: 67402 | focusText: 
26736375 | status: Ready | focus: 67402 | focusText: 
26736437 | status: Ready | focus: 67402 | focusText: 
26737296 | status: Ready | focus: 67402 | focusText: 
26737656 | status: Ready | focus: 67402 | focusText: 
26737718 | status: Ready | focus: 67402 | focusText: 
26737781 | status: Ready | focus: 67402 | focusText: 
26737843 | status: Ready | focus: 67402 | focusText: 
26737906 | status: Ready | focus: 67402 | focusText: 
26737968 | status: Ready | focus: 67402 | focusText: 
26738031 | status: Ready | focus: 67402 | focusText: 
26738109 | status: Ready | focus: 67402 | focusText: 
