34665,CABBAGE,,RPC,15#,SAVOY,,,,USA
34666,CABBAGE,,RPC,15#,SAVOY,,,,
37710,CABBAGE,,RPC,15#,BOK CHOY,,,,USA
37711,CABBAGE,,RPC,15#,BOK CHOY,,,,
37712,CABBAGE,,RPC,15#,NAPA,,,,USA
73482,SQUASH-W,,BIN,1100#,BUTTERNUT,,,BigChuy,USA
73483,SQUASH-S,ORG,CTN,FCY80,YSN,ROLL STK,,Rico,MEXICO
73484,SQUASH-S,,CTN,FCY80,YSN,ROLL STK,,Rico,
73485,SQUASH-S,,CTN,#2 BU,YSN,,,Blue Ribbon,USA
73486,SQUASH-S,,CTN,#2 BU,YSN,,,Blue Ribbon,
73487,HOT PEPPER,,DPC,BULK,TOMATILLO,,,Produce House,MEXICO
73488,HOT PEPPER,,DPC,BULK,TOMATILLO,,,Produce House,
73489,SQUASH-S,ORG,CTN,MED80,YSN,GS1 STK,,Walmart,MEXICO
73490,SQUASH-S,,CTN,MED80,YSN,GS1 STK,,Walmart,
73491,SQUASH-W,,CTN,XLARGE BU,KABOCHA,,,Judge,MEXICO
73492,SQUASH-W,,CTN,LARGE BU,KABOCHA,,,Judge,MEXICO
73493,SQUASH-W,,CTN,MEDIUM BU,KABOCHA,,,Judge,MEXICO
73494,CUCUMBER,,CTN,LARGE,,,,Ximena,MEXICO
73495,SQUASH-W,,CTN,LARGE BU,BUTTERNUT,,,GreenPt,MEXICO
73496,WATERMELON,,BIN,60CT,SEEDLESS,,,Earthblend,MEXICO
73497,WATERMELON,,BIN,60CT,SEEDLESS,,,Earthblend,
73498,BELL,ORG,CTN,MEDIUM,GREEN,GS1 STK,,Sunfed,MEXICO
73499,TOMATO,ORG,11#,4-5CT LG,TOV,GS1 STK,,,MEXICO
73500,TOMATO,,11#,4-5CT LG,TOV,GS1 STK,,,
73501,BELL,ORG,11#,LARGE,YELLOW,GS1 STK,,G&A,MEXICO
73502,SQUASH-W,,CTN,LARGE BU,ACORN,GS1 STK,,Generic,"CA,USA"
73503,HOT PEPPER,,BAG,10/12OZDRC,SHISHITO,,,Golden West,
73504,BELL,ORG,CTN,XLARGE,GREEN,GS1 STK,,Generic,MEXICO
73505,HOT PEPPER,,BAG,10/12OZDRC,SHISHITO,,,,MEXICO
73506,HOT PEPPER,,BAG,10/12OZDRC,SHISHITO,,,,
73507,HOT PEPPER,ORG,BAG,10/12OZDRC,SHISHITO,,,,MEXICO
73508,BELL,ORG,WRAP,15/2CT,RED,,,Roxana,MEXICO
73509,BRUSSELS,,CTN,9CT-STALK,,,,Generic,USA
73510,BELL,ORG,CTN,CHOICE,RED,GS1 STK,,Generic,MEXICO
73511,CABBAGE,,CTN,MED30,GREEN,,,MooreFarms,USA
73512,CABBAGE,,CTN,MED30,GREEN,,,MooreFarms,
73515,SQUASH-W,,CTN,LARGE BU,SPAGHETTI,,,GreenPt,MEXICO
73516,CUCUMBER,,CTN,SUPER,,,,,"WA,USA"
73517,CUCUMBER,ORG,CTN,36CT,,NOPLU,,Rico,MEXICO
73518,CUCUMBER,,CTN,36CT,,,,Rico,
73519,SQUASH-W,ORG,CTN,MEDIUM BU,SPAGHETTI,GS1 STK,,Rico,MEXICO
73520,HOT PEPPER,,BAG,10/12OZDRC,SHISHITO,,,Golden West,MEXICO
73521,HOT PEPPER,,SPLIT,10#,SHISHITO,,,Golden West,MEXICO
73522,HOT PEPPER,,SPLIT,10#,SHISHITO,,,Golden West,
73523,HOT PEPPER,,BAG,12/8OZ,SHISHITO,,,,MEXICO
73524,CUCUMBER,,CTN,LARGE,,,,Desert,MEXICO
73525,CUCUMBER,,CTN,LARGE,,,,Desert,
73526,CUCUMBER,,CTN,LARGE,,,,Desert Bloom,MEXICO
73527,CUCUMBER,,CTN,LARGE,,,,Desert Bloom,
73528,SQUASH-S,,BAG,8/5# MESH,ZUCC,,,,MEXICO
73529,BELL,ORG,CTN,CHOICE MD,GREEN,NOPLU,,Generic,MEXICO
73530,BELL,ORG,CTN,LARGE,GREEN,ROLL STK,,Sunfed,MEXICO
73531,BELL,ORG,CTN,MEDIUM,GREEN,ROLL STK,,Sunfed,MEXICO
73532,BELL,ORG,CTN,CHOICE LG,GREEN,ROLL STK,,Sunfed,MEXICO
73533,BELL,ORG,CTN,JUMBO,GREEN,ROLL STK,,Sunfed,MEXICO
73534,SQUASH-S,ORG,CTN,FANCY,ZUCC,NOPLU,,DivineFl,MEXICO
73535,SQUASH-S,,CTN,FANCY,ZUCC,NOPLU,,DivineFl,
73536,BELL,ORG,15# ,XLARGE,GREEN,GS1 STK,,M&R,MEXICO
73537,EGGPLANT,,BAG,4/5# MESH,REG,,,,MEXICO
73538,BELL,ORG,CTN,MEDIUM,GREEN,ROLL STK,,Generic,MEXICO
73539,WATERMELON,,BIN,60CT,SEEDLESS,,,Papito,MEXICO
73540,WATERMELON,,BIN,60CT,SEEDLESS,,,Papito,
73541,BELL,ORG,11#,MEDIUM,RED,GS1 STK,,Signature,MEXICO
73542,BEAN,,DPC,BULK,GREEN,,,King O,MEXICO
73543,BEAN,,DPC,BULK,GREEN,,,King O,
73544,HOT PEPPER,,CTN,BU,ANAHEIM,GS1 STK,,Llano,MEXICO
73545,HOT PEPPER,,CTN,BU,ANAHEIM,GS1 STK,,Llano,
73546,HOT PEPPER,,CTN,BU,JALAPENO,GS1 STK,,Llano,MEXICO
73547,HOT PEPPER,,CTN,BU,JALAPENO,GS1 STK,,Llano,
73548,BELL,,CTN,CHOICE MD,GREEN,,,Trufresh,MEXICO
73549,CUCUMBER,,CTN,SUPER,,,,Desert Bloom,MEXICO
73550,CUCUMBER,,CTN,SUPER,,,,Desert Bloom,
73551,SQUASH-W,,CTN,MEDIUM BU,KABOCHA,,,Juca,MEXICO
73552,SQUASH-W,ORG,CTN,LARGE BU,SPAGHETTI,GS1 STK,,BigChuy,MEXICO
73553,BELL,,CTN,CHOICE,GREEN,,,Trufresh,MEXICO
73554,SQUASH-W,ORG,RPC,35#,BUTTERNUT,GS1 STK,,,MEXICO
73555,SQUASH-W,,CTN,LARGE BU,SPAGHETTI,,,ChuyPride,MEXICO
73556,SQUASH-W,,CTN,LARGE BU,KABOCHA,,,,MEXICO
73557,TOMATO,ORG,10#,LG,HEIRLOOM,GS1 STK,,Generic,MEXICO
73558,TOMATO,,10#,LG,HEIRLOOM,GS1 STK,,Generic,
73559,SQUASH-W,,CTN,LARGE BU,KABOCHA,,,ChuyPride,MEXICO
73560,SQUASH-W,ORG,RPC,35#,BUTTERNUT,GS1 STK,,,USA
73561,SQUASH-W,,CTN,MEDIUM BU,ACORN,,,PaloAlto,MEXICO
73562,CORN,ORG,TRAY,12/4 CT GB,BICOLOR,,,,USA
73563,HOT PEPPER,,CTN,BU,ANAHEIM,,,Llano,MEXICO
73564,HOT PEPPER,,CTN,BU,ANAHEIM,,,Llano,
73565,HOT PEPPER,,CTN,BU,JALAPENO,,,Llano,MEXICO
73566,HOT PEPPER,,CTN,BU,JALAPENO,,,Llano,
73567,SQUASH-S,,CTN,FANCY,YSN,,,Jazmine,MEXICO
73568,SQUASH-S,,CTN,FANCY,YSN,,,Jazmine,
73569,BELL,,CTN,CHOICE,GREEN,,,Desert,MEXICO
73570,SQUASH-W,,CTN,LARGE BU,BUTTERCUP,,,Niñote,MEXICO
73571,EGGPLANT,,CTN,32CT FANCY,REG,,,Seeded ,MEXICO
73572,EGGPLANT,,CTN,32CT FANCY,REG,,,Seeded ,
73573,BEAN,,DPC,BULK,GREEN,,,Panuelo,MEXICO
73574,BEAN,,DPC,BULK,GREEN,,,Panuelo,
73575,SQUASH-S,,CTN,FCY84,GREY,,,FreshFarm,MEXICO
73576,SQUASH-S,,CTN,FCY84,GREY,,,FreshFarm,
73577,SQUASH-S,ORG,CTN,FANCY,YSN,NOPLU,,Generic,MEXICO
73578,SQUASH-S,,CTN,FANCY,YSN,NOPLU,,Generic,
73579,HOT PEPPER,,CTN,BU,JALAPENO,NOPLU,,Llano,MEXICO
73580,HOT PEPPER,,CTN,BU,JALAPENO,NOPLU,,Llano,
73581,HOT PEPPER,,CTN,BU,ANAHEIM,NOPLU,,Llano,MEXICO
73582,HOT PEPPER,,CTN,BU,ANAHEIM,NOPLU,,Llano,
73583,SQUASH-S,ORG,CTN,FANCY,YSN,GS1 STK,,Idealharbest,MEXICO
73584,SQUASH-S,,CTN,FANCY,YSN,GS1 STK,,Idealharbest,
73585,WATERMELON,,BIN,45CT,SEEDLESS,,,PaloAlto,MEXICO
73586,WATERMELON,,BIN,45CT,SEEDLESS,,,PaloAlto,
73590,CUCUMBER,ORG,CTN,36CT,,PLU STK,,Wilson,MEXICO
73591,SQUASH-S,ORG,CTN,FCY80,ZUCC,ROLL STK,,Rico,MEXICO
73592,SQUASH-S,,CTN,FCY80,ZUCC,ROLL STK,,Rico,
73593,HOT PEPPER,ORG,BAG,12/1#,MINISWEET,NOPLU,,,USA
73594,CUCUMBER,,CTN,SELECT,,,,Trippple,MEXICO
73595,CUCUMBER,,CTN,SELECT,,,,Trippple,
73596,BELL,ORG,CTN,CHOICE MD,RED,NOPLU,,DivineFl,MEXICO
