=== Products batch started 2026-06-26 08:49:48 | row 1 | 4768 remaining ===
2026-06-26 08:50:02 | row 1 | SKU 34665 | MISMATCH col 5 expected '15#' got '20#'
=== Products batch started 2026-06-26 08:50:18 | row 1 | 4768 remaining ===
=== Products batch started 2026-06-26 08:52:13 | row 1 | 4763 remaining ===
2026-06-26 08:52:17 | row 1 | SKU 73482 | OK
2026-06-26 08:52:21 | row 2 | SKU 73483 | OK
2026-06-26 08:52:25 | row 3 | SKU 73484 | OK
2026-06-26 08:52:29 | row 4 | SKU 73485 | OK
2026-06-26 08:52:32 | row 5 | SKU 73486 | OK
2026-06-26 08:52:37 | row 6 | SKU 73487 | OK
2026-06-26 08:52:42 | row 7 | SKU 73488 | OK
2026-06-26 08:52:45 | row 8 | SKU 73489 | OK
2026-06-26 08:52:48 | row 9 | SKU 73490 | OK
2026-06-26 08:52:51 | row 10 | SKU 73491 | OK
2026-06-26 08:52:53 | row 11 | SKU 73492 | OK
2026-06-26 08:52:56 | row 12 | SKU 73493 | OK
2026-06-26 08:52:58 | row 13 | SKU 73494 | OK
2026-06-26 08:53:01 | row 14 | SKU 73495 | OK
2026-06-26 08:53:03 | row 15 | SKU 73496 | OK
2026-06-26 08:53:05 | row 16 | SKU 73497 | OK
2026-06-26 08:53:20 | row 17 | SKU 73498 | MISMATCH col 9 expected 'Sunfed' got 'Pinos'
2026-06-26 08:53:39 | row 17 | SKU 73498 | OK
2026-06-26 08:53:42 | row 18 | SKU 73499 | OK
2026-06-26 08:53:44 | row 19 | SKU 73500 | OK
2026-06-26 08:53:46 | row 20 | SKU 73501 | OK
2026-06-26 08:53:49 | row 21 | SKU 73502 | OK
2026-06-26 08:53:51 | row 22 | SKU 73503 | OK
2026-06-26 08:53:54 | row 23 | SKU 73504 | OK
2026-06-26 08:53:57 | row 24 | SKU 73505 | OK
2026-06-26 08:54:00 | row 25 | SKU 73506 | OK
2026-06-26 08:54:02 | row 26 | SKU 73507 | OK
2026-06-26 08:54:06 | row 27 | SKU 73508 | OK
2026-06-26 08:54:08 | row 28 | SKU 73509 | OK
2026-06-26 08:54:13 | row 29 | SKU 73510 | OK
2026-06-26 08:54:15 | row 30 | SKU 73511 | OK
2026-06-26 08:54:28 | row 31 | SKU 73512 | OK
2026-06-26 08:54:31 | row 32 | SKU 73515 | OK
2026-06-26 08:54:33 | row 33 | SKU 73516 | OK
2026-06-26 08:54:35 | row 34 | SKU 73517 | OK
2026-06-26 08:54:38 | row 35 | SKU 73518 | OK
2026-06-26 08:54:41 | row 36 | SKU 73519 | OK
2026-06-26 08:54:43 | row 37 | SKU 73520 | OK
2026-06-26 08:54:47 | row 38 | SKU 73521 | OK
2026-06-26 08:54:50 | row 39 | SKU 73522 | OK
2026-06-26 08:54:52 | row 40 | SKU 73523 | OK
2026-06-26 08:54:59 | row 41 | SKU 73524 | OK
2026-06-26 08:55:05 | row 42 | SKU 73525 | OK
2026-06-26 08:55:08 | row 43 | SKU 73526 | OK
2026-06-26 08:55:10 | row 44 | SKU 73527 | OK
2026-06-26 08:55:13 | row 45 | SKU 73528 | OK
2026-06-26 08:55:16 | row 46 | SKU 73529 | OK
2026-06-26 08:55:30 | row 47 | SKU 73530 | MISMATCH col 9 expected 'Sunfed' got 'Pinos'
=== Products batch started 2026-06-26 08:57:03 | row 47 | 4717 remaining ===
2026-06-26 08:57:22 | row 47 | SKU 73530 | OK
2026-06-26 08:57:42 | row 48 | SKU 73531 | OK
